"","Value","lwr","upr","Stock","RP"
"1",190,79,640,"Artlish","SGEN"
"2",230,83,450,"Bedwell/Ursus","SGEN"
"3",150,62,310,"Burman","SGEN"
"4",170,29,340,"Cayeghle","SGEN"
"5",62,19,150,"Conuma","SGEN"
"6",2700,660,7300,"Gold","SGEN"
"7",280,100,640,"Kaouk","SGEN"
"8",270,120,540,"Leiner","SGEN"
"9",480,280,960,"Marble","SGEN"
"10",710,320,1200,"Megin","SGEN"
"11",350,100,700,"Moyeha","SGEN"
"12",120,34,320,"Nahmint","SGEN"
"13",960,660,2300,"Nitinat","SGEN"
"14",1500,420,2600,"San Juan","SGEN"
"15",130,66,520,"Sarita","SGEN"
"16",2400,1000,5000,"Somass","SGEN"
"17",250,90,400,"Tahsis","SGEN"
"18",530,140,870,"Tahsish","SGEN"
"19",26,16,76,"Tranquil","SGEN"
"20",660,240,1100,"Zeballos","SGEN"
"21",1300,480,2200,"Artlish","SREP"
"22",1500,1100,2300,"Bedwell/Ursus","SREP"
"23",1000,620,2000,"Burman","SREP"
"24",670,370,1000,"Cayeghle","SREP"
"25",300,120,630,"Conuma","SREP"
"26",14000,9500,23000,"Gold","SREP"
"27",1500,750,3100,"Kaouk","SREP"
"28",1600,970,2700,"Leiner","SREP"
"29",2300,1500,3300,"Marble","SREP"
"30",4200,2400,7500,"Megin","SREP"
"31",2100,1300,3000,"Moyeha","SREP"
"32",650,260,830,"Nahmint","SREP"
"33",5700,4400,8500,"Nitinat","SREP"
"34",5000,3900,11000,"San Juan","SREP"
"35",1200,770,2100,"Sarita","SREP"
"36",16000,12000,23000,"Somass","SREP"
"37",1000,570,2100,"Tahsis","SREP"
"38",2600,1800,3300,"Tahsish","SREP"
"39",160,79,310,"Tranquil","SREP"
"40",3300,2500,5200,"Zeballos","SREP"
"41",530,210,970,"Artlish","SMSY"
"42",680,420,940,"Bedwell/Ursus","SMSY"
"43",430,270,790,"Burman","SMSY"
"44",310,140,470,"Cayeghle","SMSY"
"45",130,53,270,"Conuma","SMSY"
"46",6400,3900,9800,"Gold","SMSY"
"47",670,310,1400,"Kaouk","SMSY"
"48",710,400,1100,"Leiner","SMSY"
"49",1000,660,1500,"Marble","SMSY"
"50",1700,1000,3000,"Megin","SMSY"
"51",890,560,1300,"Moyeha","SMSY"
"52",280,110,390,"Nahmint","SMSY"
"53",2500,1900,3600,"Nitinat","SMSY"
"54",2300,1800,4700,"San Juan","SMSY"
"55",460,310,920,"Sarita","SMSY"
"56",6400,5500,9600,"Somass","SMSY"
"57",480,270,890,"Tahsis","SMSY"
"58",1100,720,1400,"Tahsish","SMSY"
"59",68,35,120,"Tranquil","SMSY"
"60",1400,1000,2300,"Zeballos","SMSY"
