CU,Stock,WA,back_WA,delta_WA,lh,PA_SMSY,PA_SREP,PA_SE_SMSY,PA_SE_SREP,WCVI_SMSY,WCVI_SREP,Delta_SMSY,Delta_SREP
WCVI Nootka & Kyuquot,Artlish,63.55,115.5,-51.95,1,764,2393,161,156,437,1450,327,943
WCVI South,Bedwell/Ursus,99.36,90.61,8.75,1,616,1946,135,132,643,2044,-27,-98
WCVI Nootka & Kyuquot,Burman,69.89,224.33,-154.44,1,1376,4215,259,250,474,1555,902,2660
WCVI North,Cayeghle,49.42,78.57,-29.15,1,543,1723,122,119,356,1216,187,507
WCVI Nootka & Kyuquot,Conuma,19.71,114.99,-95.28,1,761,2384,160,156,186,724,575,1660
WCVI South,Cypre,39.03,55.06,-16.03,1,396,1273,95,93,297,1044,99,229
WCVI Nootka & Kyuquot,Gold,856.34,941.83,-85.49,1,4910,14317,792,757,4982,14589,-72,-272
WCVI Nootka & Kyuquot,Kaouk,100.51,106.72,-6.21,1,712,2238,152,148,649,2063,63,175
WCVI Nootka & Kyuquot,Leiner,109.25,97.32,11.93,1,656,2069,142,139,699,2208,-43,-139
WCVI North,Marble,167.51,179.65,-12.14,1,1130,3488,221,214,1033,3173,97,315
WCVI South,Megin,245.34,125.25,120.09,1,821,2564,170,166,1479,4463,-658,-1899
WCVI South,Moyeha,115.68,288.42,-172.74,1,1065,3294,210,204,736,2314,329,980
WCVI South,Nahmint,41.74,312.86,-271.12,1,1128,3480,220,213,312,1089,816,2391
WCVI South,Nitinat,356.62,910.72,-554.1,1,2393,7174,412,396,2117,6307,276,867
WCVI South,San Juan,330,1501.43,"-1,171.43",1,3402,10062,563,539,1964,5863,1438,4199
WCVI South,Sarita,84.22,133.86,-49.64,1,620,1959,136,133,556,1793,64,166
WCVI South,Somass,1056.84,2608.06,"-1,551.22",1,5017,14619,809,772,6131,17912,-1114,-3293
WCVI Nootka & Kyuquot,Tahsis,76.93,71.12,5.81,1,497,1583,114,111,514,1672,-17,-89
WCVI Nootka & Kyuquot,Tahsish,171.97,98.65,73.32,1,664,2093,144,140,1059,3247,-395,-1154
WCVI South,Tranquil,12.22,56.5,-44.28,1,405,1302,97,95,143,600,262,702
WCVI Nootka & Kyuquot,Zeballos,193.85,9.9,183.95,1,99,335,27,31,1184,3610,-1085,-3275
